"","pitch_type","release_speed","release_pos_x","release_pos_y","release_pos_z"
"399","FF",94.5,-1.96,53.76,5.69
"400","FF",94.7,-1.82,53.5,5.77
"401","FF",92.3,-2.13,53.75,5.78
"402","ST",78.9,-2.18,53.85,5.7
"403","FF",92.2,-2.2,53.79,5.7
"404","ST",79.5,-2.25,53.98,5.57
"405","FF",92.6,-1.81,53.64,5.88
"406","ST",83.2,-2.3,53.62,5.65
"407","ST",85.5,-2.54,53.58,5.62
"408","FF",97.2,-2.21,53.46,5.8
"409","ST",86.9,-1.65,53.59,6.25
"410","ST",85.3,-2.45,53.52,5.55
"411","FF",94.4,-1.87,53.49,5.89
"412","FF",99.2,-2,53.47,5.79
"413","ST",84.5,-2.48,53.62,5.52
"414","ST",84.8,-2.68,53.53,5.51
"415","FF",97.2,-2.28,53.54,5.73
"416","FF",97.4,-2.25,53.53,5.74
"417","FF",94.6,-2.31,53.69,5.77
"418","FF",95.2,-2.19,53.25,5.75
"419","FF",92.5,-2.15,53.53,5.76
"420","ST",81.8,-2.45,53.47,5.66
"421","ST",81.6,-2.32,53.39,5.66
"422","FF",97,-2.17,53.71,5.8
"423","FF",97.1,-2.07,53.59,5.85
"424","FF",96.8,-2.06,53.31,5.83
"425","ST",81.6,-2.45,53.58,5.74
"426","FF",94.7,-1.87,53.51,5.99
"427","FF",94.7,-2.14,53.49,5.76
"428","FF",93.7,-2.03,53.63,6.04
"429","FF",96.4,-2.23,53.47,5.77
"430","ST",83.1,-2.4,53.57,5.57
"431","FF",97.7,-2.02,53.54,5.77
"432","ST",86.2,-2.29,53.48,5.58
"433","FF",94,-2.01,53.58,5.94
"434","ST",78.8,-2.26,53.51,5.75
"435","FF",93.1,-1.91,53.65,6.04
"436","FF",96.5,-2.21,53.52,5.73
"437","FF",97.4,-2.1,53.55,5.81
"438","FF",96.2,-2.24,53.5,5.75
"439","FF",95.6,-2.01,53.51,5.86
"440","FF",95.8,-2.01,53.43,5.81
"441","ST",81.8,-2.28,53.77,5.73
"442","ST",85.3,-2.42,53.59,5.48
"443","ST",85.5,-2.45,53.57,5.53
"444","FF",97.5,-2.13,53.55,5.67
"445","FF",96.8,-2.34,53.48,5.6
"446","FF",97.6,-2.11,53.48,5.67
"447","FF",97.8,-2,53.61,5.84
"448","FF",97.1,-2.24,53.56,5.7
"449","FF",98.2,-2.29,53.44,5.67
"450","ST",88.3,-2.61,53.64,5.45
"451","FF",97.6,-2.4,53.66,5.56
"452","FF",97,-2.28,53.46,5.57
"453","FF",96.8,-2.12,53.49,5.71
